1-й квартал Капотни, 4б
Зеленоград, корпус 1013б
1-я Вольская ул., 22 сооружение 1
Зеленоград, корпус 1131а
1-я Фрезерная ул., 2/1 строение 8
Зеленоград, корпус 1132а
12-я Новокузьминская ул., 6 корпус 3
Зеленоград, корпус 1201а
2-я Звенигородская ул., 12, строение 126
Зеленоград, корпус 131а
2-я Филёвская ул., 14
Зеленоград, корпус 907б
3-й Красносельский пер., 9а
Зелёный просп., 22
Авиационная ул., 40
Инженерная ул., 3а
Автозаводская ул., 23 строение 3
Кавказский бул., 17а сооружение 1
Алма-Атинская ул., 9 корпус 3 сооружение 1
Камчатская ул., 5а
Каширское шоссе, 64
Алтуфьевское шоссе, 43 строение 31
Керамический пр., 57а
Базовская ул., 20а
Кировоградская ул., 8 корпус 6
Кировоградская ул., 22 сооружение 1
Белозерская ул., 23а
Коктебельская ул., сооружение 4г
Будайская ул.
Коломенский пр., 4
Вагоноремонтная ул., 9/25
Крылатская ул., 29 корпус 3
Варшавское шоссе, 28а
Куликовская ул., сооружение 3г
Варшавское шоссе, 133а
Ленская ул., 15 строение 17
Верхнелихоборская ул., 4
Маломосковская ул., 27 корпус 2
Вешняковская ул., 6/8
Медовый пер., 6 строение 1
Волгоградский просп.
Медынская ул., 5 корпус 3 сооружение 2
Гурьевский пр., 31 корпус 2
микрорайон Северное Чертаново, 4б
Дмитровский пр., 11а
Михневская ул., владение 21
Дорожная ул., 20 сооружение 1
Мичуринский просп., Олимпийская Деревня, 22а
Нагорная ул., 5 строение 4
Семёновская наб., 2/1
Неманский пр., 1 корпус 3 строение А
Суздальская ул., 16б
Новозаводская ул., 18 сооружение 24
Суздальская ул., 26б
Новозаводская ул., 18 сооружение 29
Сумская ул., 19 сооружение 1
Новокузнецкая ул., 38 строение 2
Сходненская ул., 44
Новоорловская ул., 5а
ул. Академика Анохина, 30
Новоясеневский просп., 4 строение 9
ул. Академика Анохина, 38
Олонецкая ул., 21а строение 2
ул. Академика Капицы, 4 сооружение 1
Павловская ул., 8а
ул. Академика Капицы, 26 корпус 2 сооружение 1
Пакгаузное шоссе
ул. Барышиха, 42 строение 3
Перовская ул., 2 сооружение 6
ул. Бориса Галушкина, 25
Песчаный пер., 9а
ул. Борисовские Пруды, 22 корпус 4 сооружение 1
Подольская ул., 6
ул. Василия Ботылёва, 1 строение 130
Полярная ул., 34 корпус 3
ул. Верхние Поля, 15 корпус 2
пр. Донелайтиса, 12 сооружение 1
ул. Вилиса Лациса, 4 строение 3
Приречная ул., 1 корпус 1
ул. Генерала Тюленева, 27 сооружение 1
Пронская ул., 4 корпус 3
ул. Главмосстроя, 7 сооружение 1
просп. Андропова, 22 строение 3
ул. Главмосстроя, 10 сооружение 1
просп. Маршала Жукова, 4
ул. Главмосстроя, 14 сооружение 1
Ратная ул., сооружение 14в
ул. Госпитальный Вал, 5 корпус 18
Ратная ул., сооружение 6г
ул. Докукина, 11
Россошанская ул., 13 сооружение 1
ул. Жебрунова, 4ж
Рублёвское шоссе, 12
ул. Зои и Александра Космодемьянских, 36а
Рублёвское шоссе
ул. Золоторожский Вал, 6 строение 13
Саянская ул., 13 строение 3
ул. Каховка, 28 сооружение 1
ул. Коминтерна, 9 корпус 1
ул. Фомичёвой, 16а
ул. Крылатские Холмы, 14
ул. Хромова, 2
ул. Ленинская Слобода, 26 строение 30
ул. Шолохова, 9а
ул. Лескова, 9а
ул. Шолохова, 19а
ул. Маршала Катукова, 3
ул. Юности, 5 строение 5
ул. Маршала Катукова, 9а
Ферганская ул., 11 сооружение 1
ул. Маршала Катукова, 15
Ферганский пр., 6а
ул. Маршала Катукова, 21а
Фортунатовская ул., 1 строение 8
ул. Менжинского, 23 корпус 2
Челябинская ул., 15 сооружение 1
ул. Милашенкова, 12 строение 1
Чертановская ул., 48 корпус 3 сооружение 1
ул. Москворечье, 20 строение 2
Чоботовская ул., 19 сооружение 1
ул. Народного Ополчения, 33 строение 6
Шереметьевская ул., 30 строение 1
ул. Островитянова, 34 корпус 2 строение 1
Штурвальная ул., 8
ул. Пришвина, 12а
Щукинская ул., 20 строение 5
ул. Проходчиков, 17а
Ясеневая ул., 30г сооружение 1
ул. Ремизова, владение 14 сооружение 1
ул. Рогова, 1 строение 1
ул. Свободы, 81 сооружение 1
ул. Свободы, 85 сооружение 3
ул. Сокольнический Вал, 1 строение 4
ул. Сокольнический Вал
ул. Софьи Ковалевской, 14А
ул. Стромынка, 7 корпус 16
ул. Трофимова, 31
ул. Тёплый Стан, 3 сооружение 1
